"Sector","Categoría","Subcategoría",Año,"Tipo de GEI","GEI",Gg Gas,"Gg CO2 - eq (GWP)","Gg CO2 - eq (GTP)","Notation Key"
"3 - Agricultura, Silvicultura y Otros Usos de la Tierra","3.C - Fuentes agregadas y fuentes de emisiones no-CO2 de la tierra","3.C.1 - Emisiones de la quema de biomasa",2000,"Indirecto","CO",4,752475,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Aviación Internacional",2000,"Indirecto","NOx",0,2788,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Aviación Internacional",2000,"Indirecto","CO",83,6265,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Aviación Internacional",2000,"Indirecto","COVDM",1,3241,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Aviación Internacional",2000,"Indirecto","SO2",0,4181,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Navegación internacional",2000,"Indirecto","NOx",24,7867,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Navegación internacional",2000,"Indirecto","CO",2,3209,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Navegación internacional",2000,"Indirecto","COVDM",0,8574,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Navegación internacional",2000,"Indirecto","SO2",14,7819,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",2002,"Indirecto","NOx",0,4783,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",2002,"Indirecto","CO",0,0408,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",2002,"Indirecto","COVDM",0,0085,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",2002,"Indirecto","SO2",1,9725,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",2002,"Indirecto","NOx",1,8798,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",2002,"Indirecto","CO",1,9051,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",2002,"Indirecto","COVDM",0,1309,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",2002,"Indirecto","SO2",7,5324,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.3 - Transporte",2002,"Indirecto","NOx",17,9254,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.3 - Transporte",2002,"Indirecto","CO",32,0718,"N/A","N/A",
